configuration,Time,CF
dp-train + triples + prune,29.0142,7.058800
dp-train + triples + prune,47.1135,1.851490
dp-train + triples + prune,40.2882,2.473190
dp-train + triples + prune,40.3025,3.479260
dp-train + triples + prune,49.8354,1.479010
dp-train + triples + prune,49.0387,3.133830
dp-train + triples + prune,48.9937,1.623220
dp-train + triples + prune,35.7246,6.776240
dp-train + triples + prune,46.9867,2.497900
dp-train + triples + prune,45.0509,2.139460
dp-train + triples + prune,39.4902,2.028920
dp-train + triples + prune,35.8487,3.193080
dp-train + triples + prune,27.1626,7.230330
dp-train + triples + prune,37.3383,2.178560
dp-train + triples + prune,30.2238,6.981000
dp-train + triples + prune,48.5976,1.834570
dp-train + triples + prune,40.4618,2.492240
dp-train + triples + prune,64.7051,1.739810
dp-train + triples + prune,131.45,1.906120
dp-train + triples + prune,80.9357,1.868020
dp-train + triples + prune,45.637,2.560880
dp-train + triples + prune,33.0747,2.164550
dp-train + triples + prune,35.2661,3.462900
dp-train + triples + prune,30.7788,7.120970
dp-train + triples + prune,41.2318,2.778450
dp-train + triples + prune,34.8988,7.118780
dp-train + triples + prune,48.5994,3.509440
dp-train + triples + prune,48.9082,2.380020
dp-train + triples + prune,47.1992,1.571300
dp-train + triples + prune,39.8619,1.050210
dp-train + triples + prune,48.5646,1.714220
dp-train + triples + prune,34.6513,3.825530
dp-train + triples + prune,39.3921,2.189830
dp-train + triples + prune,52.7161,3.209140
dp-train + triples + prune,39.0576,1.937550
dp-train + triples + prune,43.131,1.650770
dp-train + triples + prune,27.2361,7.025550
dp-train + triples + prune,54.4865,2.975740
dp-train + triples + prune,90.4307,3.093870
dp-train + triples + prune,51.7105,2.188220
dp-train + triples + prune,46.5831,2.624970
dp-train + triples + prune,58.5115,2.245670
dp-train + triples + prune,43.2714,2.409230
dp-train + triples + prune,54.8566,2.757980
dp-train + triples + prune,45.5798,2.700130
dp-train + triples + prune,52.3326,3.202700
dp-train + triples + prune,48.2363,2.245670
dp-train + triples + prune,39.4824,2.380020
dp-train + triples + prune,42.8718,1.700950
dp-train + triples + prune,43.515,2.295100
dp-train + triples + prune,31.8426,1.050210
dp-train + triples + prune,34.1963,2.789700
dp-train + triples + prune,36.5157,3.180030
dp-train + triples + prune,45.4216,2.812680
dp-train + triples + prune,37.6476,3.133510
dp-train + triples + prune,105.412,1.738230
dp-train + triples + prune,47.066,1.827070
dp-train + triples + prune,60.8444,2.124410
dp-train + triples + prune,36.757,3.227510
dp-train + triples + prune,38.3965,2.730870
dp-train + triples + prune,38.0185,2.737550
dp-train + triples + prune,36.6275,2.801400
dp-train + triples + prune,44.5396,1.504680
dp-train + triples + prune,37.6055,2.811440
dp-train + triples + prune,41.3822,2.079790
dp-train + triples + prune,200.27,1.633220
dp-train + triples + prune,65.0553,2.597970
dp-train + triples + prune,46.6526,1.702900
dp-train + triples + prune,42.3284,2.172720
dp-train + triples + prune,206.455,1.741990
dp-train + triples + prune,47.2623,3.658510
dp-train + triples + prune,49.2164,2.282100
dp-train + triples + prune,48.4594,2.375140
dp-train + triples + prune,40.3214,3.507840
dp-train + triples + prune,47.209,2.247950
dp-train + triples + prune,59.2284,1.723360
dp-train + triples + prune,50.5194,3.572890
dp-train + triples + prune,40.1018,4.247200
dp-train + triples + prune,49.8436,1.757920
dp-train + triples + prune,52.6845,2.304450
dp-train + triples + prune,41.9697,1.847640
dp-train + triples + prune,38.733,1.968260
dp-train + triples + prune,37.9453,2.202940
dp-train + triples + prune,49.2227,1.531220
dp-train + triples + prune,46.3947,1.828620
dp-train + triples + prune,57.0236,1.558990
dp-train + triples + prune,47.9607,2.768460
dp-train + triples + prune,54.1606,2.054100
dp-train + triples + prune,48.0895,1.853820
dp-train + triples + prune,44.6429,2.100300
dp-train + triples + prune,57.6147,1.563960
dp-train + triples + prune,46.4143,1.947370
dp-train + triples + prune,48.7937,2.038570
dp-train + triples + prune,50.5003,2.908020
dp-train + triples + prune,45.5327,1.772270
dp-train + triples + prune,37.2664,2.950920
dp-train + triples + prune,55.767,2.460700
dp-encode,38.7067,7.278640
dp-encode,36.9536,7.006550
dp-encode,39.2618,7.191790
dp-encode,136.269,3.864170
dp-encode,47.4515,1.537880
dp-encode,191.836,1.741300
dp-encode,67.4608,2.768030
dp-encode,41.377,1.735280
dp-encode,43.9817,1.447490
dp-encode,41.3889,3.100660
dp-encode,43.3112,3.324190
dp-encode,120.483,1.729730
dp-encode,126.274,2.753690
dp-encode,55.0824,3.331430
dp-encode,55.4147,4.789330
dp-encode,42.9143,1.459640
dp-encode,43.8086,1.447490
dp-encode,121.141,2.726090
dp-encode,45.6563,2.484100
dp-encode,61.7645,3.627530
dp-encode,43.8838,2.092440
dp-encode,43.9114,2.807670
dp-encode,46.3712,1.459640
dp-encode,131.3,2.753690
dp-encode,48.7057,3.783670
dp-encode,117.568,1.537230
dp-encode,132.786,1.729730
dp-encode,45.2865,2.124980
dp-encode,67.92,2.320420
dp-encode,50.2699,5.391850
dp-encode,52.1612,2.807670
dp-encode,61.687,4.789330
dp-encode,85.0271,2.591440
dp-encode,38.2928,2.124980
dp-encode,53.8082,3.331430
